iter	Passed	Remaining
0	4	463
1	9	469
2	13	421
3	16	391
4	21	409
5	25	399
6	29	387
7	32	373
8	34	352
9	37	334
10	39	318
11	41	304
12	43	292
13	45	281
14	48	272
15	50	263
16	52	255
17	54	248
18	56	241
19	58	234
20	60	228
21	62	222
22	64	214
23	65	208
24	67	201
25	68	195
26	70	190
27	72	185
28	73	179
29	75	176
30	77	172
31	78	167
32	80	164
33	82	159
34	83	154
35	84	150
36	85	146
37	87	142
38	88	138
39	90	135
40	91	131
41	91	126
42	92	122
43	93	118
44	94	115
45	95	111
46	96	108
47	96	105
48	97	101
49	98	98
50	99	95
51	100	92
52	101	89
53	102	86
54	102	83
55	103	81
56	104	78
57	107	77
58	108	75
59	109	73
60	110	70
61	112	68
62	113	66
63	114	64
64	116	62
65	117	60
66	118	58
67	118	55
68	119	53
69	120	51
70	121	49
71	122	47
72	123	45
73	125	44
74	126	42
75	127	40
76	128	38
77	128	36
78	129	34
79	130	32
80	131	30
81	132	29
82	133	27
83	134	25
84	134	23
85	135	22
86	136	20
87	137	18
88	138	17
89	139	15
90	140	13
91	140	12
92	142	10
93	143	9
94	144	7
95	145	6
96	146	4
97	147	3
98	148	1
99	149	0
