iter	Passed	Remaining
0	345	345409
1	350	174812
2	354	117777
3	359	89464
4	363	72305
5	372	61644
6	376	53387
7	379	47078
8	382	42064
9	384	38023
10	386	34793
11	389	32029
12	391	29686
13	392	27675
14	394	25933
15	396	24411
16	398	23064
17	401	21887
18	404	20871
19	406	19905
20	408	19032
21	410	18237
22	412	17511
23	414	16845
24	416	16230
25	418	15663
26	420	15167
27	422	14679
28	424	14225
29	426	13800
30	428	13405
31	430	13017
32	431	12658
33	433	12316
34	435	11993
35	436	11690
36	438	11406
37	439	11137
38	442	10893
39	443	10652
40	445	10418
41	446	10189
42	448	9971
43	449	9762
44	450	9563
45	451	9364
46	452	9173
47	453	8989
48	454	8813
49	454	8643
50	455	8481
51	456	8324
52	457	8178
53	459	8041
54	459	7902
55	460	7767
56	461	7636
57	462	7511
58	463	7389
59	464	7271
60	464	7156
61	465	7047
62	466	6941
63	467	6837
64	468	6736
65	469	6639
66	469	6544
67	470	6452
68	471	6363
69	472	6276
70	473	6195
71	474	6116
72	475	6037
73	476	5959
74	477	5883
75	477	5810
76	478	5738
77	479	5667
78	480	5599
79	481	5533
80	482	5472
81	483	5409
82	483	5343
83	484	5282
84	485	5223
85	486	5165
86	486	5109
87	487	5054
88	489	5005
89	490	4957
90	491	4905
91	491	4855
92	492	4805
93	493	4757
94	494	4709
95	495	4663
96	495	4617
97	496	4572
98	498	4537
99	499	4499
100	501	4460
101	502	4421
102	503	4382
103	505	4351
104	506	4315
105	507	4279
106	508	4242
107	509	4207
108	510	4172
109	511	4138
110	513	4111
111	514	4078
112	515	4045
113	517	4022
114	518	3992
115	519	3961
116	520	3929
117	521	3898
118	522	3868
119	524	3845
120	525	3818
121	526	3788
122	527	3760
123	528	3735
124	529	3709
125	530	3682
126	531	3655
127	532	3629
128	533	3604
129	534	3578
130	535	3553
131	537	3532
132	538	3509
133	539	3484
134	540	3460
135	540	3436
136	541	3412
137	542	3388
138	543	3365
139	544	3346
140	546	3326
141	546	3303
142	547	3283
143	548	3262
144	549	3241
145	551	3224
146	552	3205
147	553	3184
148	554	3164
149	554	3144
150	555	3124
151	556	3105
152	557	3086
153	559	3072
154	560	3054
155	561	3036
156	562	3018
157	563	3001
158	564	2985
159	565	2967
160	565	2948
161	566	2931
162	567	2913
163	568	2896
164	569	2879
165	569	2863
166	570	2846
167	571	2830
168	573	2818
169	574	2802
170	575	2787
171	576	2772
172	577	2758
173	577	2743
174	579	2729
175	580	2715
176	580	2701
177	581	2687
178	582	2673
179	583	2659
180	584	2645
181	585	2631
182	586	2617
183	587	2603
184	588	2593
185	589	2580
186	590	2567
187	591	2555
188	592	2542
189	593	2530
190	594	2518
191	595	2505
192	598	2501
193	599	2489
194	600	2477
195	601	2465
196	602	2454
197	603	2443
198	604	2431
199	604	2419
200	605	2408
201	606	2396
202	607	2384
203	608	2373
204	609	2361
205	609	2350
206	610	2339
207	611	2328
208	612	2317
209	613	2309
210	614	2298
211	615	2289
212	616	2279
213	617	2269
214	618	2259
215	619	2250
216	621	2240
217	621	2230
218	622	2220
219	623	2210
220	624	2200
221	625	2190
222	625	2180
223	626	2170
224	627	2161
225	629	2154
226	630	2146
227	631	2137
228	632	2128
229	633	2120
230	634	2111
231	635	2103
232	636	2095
233	638	2091
234	640	2083
235	641	2075
236	642	2066
237	643	2058
238	643	2050
239	644	2041
240	645	2032
241	646	2024
242	647	2016
243	647	2007
244	648	1999
245	649	1990
246	650	1982
247	651	1974
248	651	1966
249	652	1958
250	653	1950
251	654	1943
252	655	1936
253	656	1928
254	657	1920
255	658	1912
256	658	1905
257	659	1897
258	660	1889
259	661	1882
260	662	1875
261	663	1868
262	664	1861
263	665	1854
264	665	1846
265	666	1839
266	667	1832
267	668	1825
268	669	1819
269	670	1812
270	671	1806
271	672	1799
272	673	1792
273	673	1785
274	674	1778
275	675	1771
276	676	1765
277	677	1759
278	678	1753
279	679	1747
280	680	1740
281	681	1734
